front,back,part_of_speech,tags
가슴이 울렁거리다,heart churns / feels queasy (emotionally or physically),verb,"emotion, expression"
골목길,alley,noun,object
괴롭다,to be distressed / in emotional pain,adjective,emotion
구름,cloud,noun,nature
구석,corner,noun,object
기쁘다,to be happy,adjective,emotion
김이 오르다 ,steam rises,verb,"action, expression"
날아가다,to fly away,verb,action
녹다,to melt,verb,action
눈 (nature),snow,noun,nature
눈물이 글썽이다,tears well up,verb,"emotion, expression"
능글맞다,"cheeky, shameless but likeable",adjective,emotion
담,wall,noun,object
되묻다,to ask back,verb,action
뒹굴다,to roll around / lounge around,verb,action
멀뚱하다,to stand blankly / awkwardly without reacting,adjective,emotion
모락모락,gently rising steam (visual/mood word),adverb,onomatopoeia/mimetic
민들레,dandelion,noun,nature
"밉고, 밉고 또 밉다","""I hate it… I really, really hate it""",phrase,"emotion, expression"
밉다,to hate / dislike,adjective,emotion
방긋방긋 웃다,to smile brightly / sweetly,verb,"action, expression"
병아리,chick (baby chicken),noun,nature
비,rain,noun,nature
뾰로통하다,to be pouty / sulky (visibly),adjective,emotion
서리,frost,noun,nature
소달구지,ox cart,noun,object
속상하다,to feel upset / hurt (emotionally),adjective,emotion
스며들다,"to seep/soak in (gradually, often emotionally or physically)",verb,"action, expression"
슬프다,to be sad (general sadness),adjective,emotion
어리둥절하다,to be bewildered / confused (suddenly),adjective,emotion
엄마 닭,hen,noun,nature
엉엉 울다,cry loudly,verb,"action, expression"
오들오들 떨다 ,to shiver (from cold/fear),verb,"action, onomatopoeia/mimetic"
외롭다,"to feel lonely (deep, emotional)",adjective,emotion
울음보를 터뜨리다,to burst into tears (suddenly),verb,"action, expression"
웅크리다,to crouch / curl up,verb,action
으르릉,growling / rumbling (animal or stomach),adverb,onomatopoeia/mimetic
자국,mark / trace / imprint left behind,noun,object
자라다,to grow,verb,action
주둥이,snout / beak (casual/rough tone),noun,object
쪼다,to peck,verb,action
쫑알거리다,to chatter nonstop (often small/annoying talk),verb,"action, onomatopoeia/mimetic"
참새,sparrow,noun,nature
콕,"poke / peck (quickly, once)",adverb,onomatopoeia/mimetic
퉤퉤,"ptooey! (spitting sound, often disgust)",adverb,onomatopoeia/mimetic
포르르,flutter lightly (birds/wings),adverb,onomatopoeia/mimetic
피어나다,to bloom,verb,action
한가운데,right in the middle,noun,object
햇볕,sunlight,noun,nature
화가 나다,to get angry (emotion rising),verb,emotion
흘겨보다,to glare at,verb,action
흙덩이,mound/lump of dirt/soil,noun,nature
히죽 웃다,"to smirk / grin slyly ""heee~""",verb,"action, expression"
